step_ms,FL_hip,FL_knee,FR_hip,FR_knee,RL_hip,RL_knee,RR_hip,RR_knee
0.00,0.898083,-1.386719,0.887390,-1.394812,0.890892,-1.401922,0.911206,-1.386324
10.00,0.899817,-1.360234,0.862059,-1.382555,0.870537,-1.403963,0.932856,-1.359111
20.00,0.914505,-1.330234,0.832059,-1.358968,0.840537,-1.401070,0.960286,-1.329111
30.00,0.943221,-1.300234,0.802059,-1.328968,0.810537,-1.386825,0.975626,-1.299111
40.00,0.973221,-1.281045,0.772059,-1.298968,0.780537,-1.358697,0.976432,-1.278035
50.00,1.003221,-1.275980,0.743700,-1.268968,0.750537,-1.328697,0.962513,-1.270264
60.00,1.024217,-1.285525,0.724880,-1.238968,0.720537,-1.298697,0.934141,-1.276381
70.00,1.030871,-1.308841,0.717845,-1.208968,0.700008,-1.268697,0.904141,-1.292819
80.00,1.022706,-1.338841,0.723192,-1.178968,0.693410,-1.238697,0.874141,-1.304477
90.00,0.999719,-1.362692,0.741689,-1.148968,0.701039,-1.208697,0.849231,-1.302325
100.00,0.969719,-1.373554,0.765329,-1.126859,0.722518,-1.178697,0.835341,-1.285857
110.00,0.939719,-1.369830,0.776347,-1.117386,0.752518,-1.154037,0.835009,-1.255857
120.00,0.909719,-1.351269,0.772548,-1.122342,0.782518,-1.143168,0.849285,-1.225857
130.00,0.879719,-1.321269,0.753820,-1.142131,0.800365,-1.146959,0.878196,-1.195857
140.00,0.863168,-1.291269,0.723820,-1.172131,0.803380,-1.165395,0.908196,-1.165857
150.00,0.861445,-1.261269,0.693820,-1.202131,0.791539,-1.195395,0.938196,-1.135857
160.00,0.874597,-1.236917,0.663820,-1.218363,0.764831,-1.225394,0.954977,-1.118484
170.00,0.902538,-1.226984,0.633820,-1.219777,0.734831,-1.255394,0.956880,-1.115827
180.00,0.932537,-1.231647,0.617250,-1.206457,0.704831,-1.270899,0.943973,-1.127690
190.00,0.962537,-1.250865,0.615349,-1.178432,0.676315,-1.271603,0.916358,-1.153882
200.00,0.978752,-1.280865,0.628022,-1.148432,0.662363,-1.257739,0.886358,-1.183882
210.00,0.980122,-1.310865,0.654399,-1.118432,0.663159,-1.229847,0.856358,-1.213882
220.00,0.966616,-1.337862,0.684398,-1.088432,0.678593,-1.199847,0.827735,-1.234401
230.00,0.938242,-1.350318,0.714398,-1.073009,0.708593,-1.169847,0.813297,-1.240183
