step_ms,FL_hip,FL_knee,FR_hip,FR_knee,RL_hip,RL_knee,RR_hip,RR_knee
0.00,0.889148,-1.407423,0.901038,-1.398899,0.903563,-1.388111,0.904430,-1.391440
10.00,0.866672,-1.420855,0.903455,-1.397436,0.913631,-1.365095,0.913360,-1.374141
20.00,0.836672,-1.433213,0.902936,-1.396147,0.935849,-1.335953,0.922039,-1.345345
30.00,0.806672,-1.432836,0.890315,-1.401999,0.965849,-1.313641,0.928085,-1.315345
40.00,0.776672,-1.417835,0.863195,-1.420200,0.995849,-1.303304,0.933728,-1.285345
50.00,0.758790,-1.388172,0.833195,-1.450199,1.025849,-1.304941,0.946069,-1.255345
60.00,0.755394,-1.358172,0.803195,-1.480199,1.051655,-1.313687,0.967939,-1.225345
70.00,0.766795,-1.333902,0.773195,-1.510199,1.063334,-1.311224,0.997939,-1.195345
80.00,0.792868,-1.319609,0.743195,-1.538764,1.061049,-1.294149,1.027939,-1.165345
90.00,0.822868,-1.312375,0.713195,-1.568764,1.051753,-1.264149,1.057939,-1.146621
100.00,0.852868,-1.307621,0.689206,-1.598764,1.045727,-1.234149,1.087939,-1.141781
110.00,0.882868,-1.308472,0.678697,-1.628764,1.036500,-1.210075,1.114849,-1.151209
120.00,0.912868,-1.321247,0.682649,-1.658764,1.014658,-1.198861,1.129082,-1.174782
130.00,0.934012,-1.348081,0.701135,-1.688764,0.984658,-1.201566,1.129265,-1.204782
140.00,0.940986,-1.378081,0.731135,-1.718764,0.954658,-1.214911,1.115914,-1.234782
150.00,0.933456,-1.408081,0.761135,-1.741551,0.924658,-1.215592,1.089801,-1.264782
160.00,0.911750,-1.438081,0.791135,-1.750564,0.907837,-1.201627,1.059801,-1.294782
170.00,0.881750,-1.468081,0.821135,-1.745549,0.905063,-1.173197,1.029801,-1.323821
180.00,0.851750,-1.498081,0.851135,-1.727121,0.916740,-1.143197,0.999801,-1.341679
